timestamp_utc,rounds,duration_sec
2026-02-28T17:56:53Z,1,29.46
2026-02-28T17:57:25Z,2,61.52
2026-02-28T17:57:57Z,3,93.58
2026-02-28T17:58:30Z,4,126.64
2026-02-28T17:59:02Z,5,158.71
2026-02-28T17:59:34Z,6,190.77
2026-02-28T18:00:06Z,7,222.83
2026-02-28T18:00:38Z,8,254.89
2026-02-28T18:01:11Z,9,287.95
2026-02-28T18:01:43Z,10,320.01
2026-02-28T18:02:15Z,11,352.07
2026-02-28T18:02:48Z,12,384.13
2026-02-28T18:03:21Z,13,417.19
2026-02-28T18:03:53Z,14,449.25
2026-02-28T18:04:25Z,15,481.31
2026-02-28T18:04:57Z,16,513.37
2026-02-28T18:05:30Z,17,546.43
2026-02-28T18:06:02Z,18,578.49
2026-02-28T18:06:34Z,19,610.56
2026-02-28T18:07:06Z,20,642.61
2026-02-28T18:07:39Z,21,675.67
2026-02-28T18:08:11Z,22,707.73
2026-02-28T18:08:43Z,23,739.79
2026-02-28T18:09:16Z,24,772.85
2026-02-28T18:09:48Z,25,804.91
2026-02-28T18:10:21Z,26,837.98
2026-02-28T18:10:53Z,27,870.04
2026-02-28T18:11:26Z,28,902.10
2026-02-28T18:11:58Z,29,934.16
2026-02-28T18:12:30Z,30,966.22
