timestamp_utc,rounds,duration_sec
2026-03-19T01:22:03Z,1,32.95
2026-03-19T01:22:04Z,2,34.24
2026-03-19T01:22:05Z,3,35.15
2026-03-19T01:22:06Z,4,36.16
2026-03-19T01:22:08Z,5,37.63
2026-03-19T01:22:09Z,6,38.64
2026-03-19T01:22:10Z,7,39.55
2026-03-19T01:22:10Z,8,40.37
2026-03-19T01:22:11Z,9,41.28
2026-03-19T01:22:12Z,10,42.19
2026-03-19T01:22:13Z,11,43.10
2026-03-19T01:22:14Z,12,44.02
2026-03-19T01:22:15Z,13,45.04
2026-03-19T01:22:16Z,14,45.84
2026-03-19T01:22:17Z,15,46.65
2026-03-19T01:22:17Z,16,47.47
2026-03-19T01:22:18Z,17,48.27
2026-03-19T01:22:19Z,18,49.21
2026-03-19T01:22:20Z,19,50.36
2026-03-19T01:22:21Z,20,51.32
