timestamp_utc,rounds,duration_sec
2026-03-16T22:46:15Z,1,26.19
2026-03-16T22:46:19Z,2,30.28
2026-03-16T22:46:51Z,3,62.39
2026-03-16T22:47:23Z,4,94.50
2026-03-16T22:47:55Z,5,126.60
2026-03-16T22:48:57Z,6,188.74
2026-03-16T22:48:59Z,7,190.82
2026-03-16T22:49:31Z,8,222.92
2026-03-16T22:50:03Z,9,255.03
2026-03-16T22:50:35Z,10,287.13
2026-03-16T22:51:08Z,11,319.23
2026-03-16T22:51:40Z,12,351.33
2026-03-16T22:52:12Z,13,383.43
2026-03-16T22:52:44Z,14,415.53
2026-03-16T22:52:46Z,15,417.60
2026-03-16T22:52:48Z,16,419.67
2026-03-16T22:53:20Z,17,451.77
2026-03-16T22:53:52Z,18,483.88
2026-03-16T22:54:24Z,19,515.98
2026-03-16T22:55:27Z,20,578.15
